t,ee_x,ee_y,ee_z,ee_err,manipulability,qp_solve_ms,qp_status,q0,q1,q2,q3,q4,q5,q6,qd0,qd1,qd2,qd3,qd4,qd5,qd6,dist_s0,dist_s1
0.0,0.48404681539304417,-6.465979232942228e-17,0.41262977546230256,0.696324009259678,0.0837515096811334,0.2148749990737997,ok,0.0,-0.3,0.0,-2.2,0.0,2.0,0.7853981633974483,-0.071145601883579,0.4317676868894022,-0.12077190392020745,0.1915969885534512,-0.01975320806368756,0.19481895114528494,-0.1796832640343683,0.37736322395755517,0.2019486448177366
0.01,0.48525197409172827,-0.0009640424040301315,0.41170365829033895,0.6933760515815003,0.08376451689460739,0.19270799930382054,ok,-0.0007114560188357901,-0.295682323131106,-0.0012077190392020746,-2.1980840301144657,-0.00019753208063687561,2.001948189511453,0.7836013307571046,-0.0746867335483932,0.430890542819238,-0.11630291547403657,0.19193452751638482,-0.017437189743780786,0.19380582979025818,-0.17992027191972368,0.37553743632181513,0.19961813298178055
0.02,0.4864513749030866,-0.0019243150867956317,0.4107764202364401,0.6904365532973855,0.083777467223793,0.13499999840860255,ok,-0.001458323354319722,-0.2913734177029136,-0.00237074819394244,-2.1961646848393017,-0.00037190397807468345,2.0038862478093553,0.7818021280379074,-0.078160248033701,0.4300251054843325,-0.1118902537850547,0.19226839259729425,-0.015195180712377342,0.19280336806192327,-0.18011203837551687,0.37371180788546987,0.19728850388651714
0.03,0.4876450745543932,-0.0028808498252936446,0.40984806584715305,0.6875054183160403,0.08379038113805153,0.21108299915795214,ok,-0.002239925834656732,-0.28707316664807025,-0.003489650731792987,-2.194242000913329,-0.0005238557851984569,2.0058142814899744,0.7800010076541523,-0.08156351281715161,0.4291709742446793,-0.10753688028353112,0.1925988215563964,-0.01302714920880169,0.19181133711188184,-0.1802587946032507,0.37188637054930396,0.19495994560518248
0.04,0.4888331293517339,-0.0038336784340582673,0.4089185993568132,0.684582550702872,0.0838032787275402,0.14458400073635858,ok,-0.0030555609628282483,-0.28278145690562345,-0.004565019534628298,-2.192316012697765,-0.0006541272772864737,2.0077323948610935,0.7781984197081198,-0.08489406110784457,0.42832775017543984,-0.10324560696110789,0.1929260250018534,-0.010932954448112285,0.19082952448242574,-0.1803608434777915,0.3700611561443492,0.19263264639210154
0.05,0.4900155951185431,-0.004782832720201057,0.407988024690362,0.6816678547857916,0.08381617967720516,0.13341600060812198,ok,-0.003904501573906694,-0.27849817940386906,-0.0055974756042393775,-2.1903867524477465,-0.0007634568217675966,2.009640690105918,0.7763948112733419,-0.08814959277386494,0.4274950368789138,-0.09901909434244069,0.19325018702773195,-0.008912349763675496,0.18985773359662064,-0.1804185569473468,0.3682361963520273,0.19030679441953058
0.060000000000000005,0.4911925271363318,-0.005728344439794222,0.4070563454671685,0.6787612352586659,0.08382910324341664,0.13775000115856528,ok,-0.0047859975016453435,-0.2742232290350799,-0.006587666547663785,-2.188454250577469,-0.0008525803194043515,2.011539267441884,0.7745906257038684,-0.09132797488384149,0.4266724412175001,-0.09485984983015283,0.1935714659144306,-0.006964985916772184,0.18889578320456357,-0.18043237334194076,0.36641152262757337,0.187982577524078
0.07,0.49236398008773163,-0.006670245255649566,0.40612356500581615,0.675862597282207,0.08384206823321051,0.1667910000833217,ok,-0.005699277250483759,-0.2699565046229049,-0.0075362650459653135,-2.186518535918325,-0.0009222301785720734,2.01342822527393,0.772786301970449,-0.09442724186733452,0.4258595739692625,-0.0907702264217831,0.19388999488487715,-0.005090414561822144,0.1879435067917757,-0.18040279459865263,0.36458716612683006,0.18566018296318254
0.08,0.4935300080019622,-0.0076085666965426185,0.40518968632982655,0.6729718465821147,0.0838550929860748,0.29916699895693455,ok,-0.006643549669157104,-0.26569790888321226,-0.008443967310183145,-2.184579635969476,-0.0009731343241902948,2.015307660341848,0.7709822740244624,-0.09744559529977619,0.4250560504082228,-0.08675242179647115,0.19420588290994406,-0.0032880918554931064,0.18700075195563762,-0.180330383412021,0.36276315763649236,0.18333979718209753
0.09,0.4946906642028117,-0.008543340117927602,0.40425471217428244,0.670088889544312,0.08386819535822215,0.17262500114156865,ok,-0.007618005622154866,-0.26144734837913003,-0.009311491528147857,-2.1826375771403765,-0.001006015242745226,2.017177667861404,0.7691789701903422,-0.1003814033185716,0.4242614908116904,-0.08280847776820151,0.19451921555655236,-0.0015573821976750122,0.18606737975551632,-0.18021576031814754,0.36093952750787883,0.18102160559179864
