t,ee_x,ee_y,ee_z,ee_err,manipulability,qp_solve_ms,qp_status,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5,dist_s0,dist_s1
0.0,0.4869,0.10915,0.43185900000000005,0.6279089999999999,0.08116927312499998,0.2274999988003401,ok,0.0,-1.5707963267948966,1.5707963267948966,-1.5707963267948966,-1.5707963267948966,0.0,-0.450527188522653,0.029312823915318184,0.00770432728053718,-0.028197113439076996,-0.0028607164123682946,-0.44771593984195074,0.30171152158190345,0.2988780756714031
0.01,0.48750408891966546,0.10695240002464747,0.43170543415693396,0.6261709899283817,0.0811900364905616,0.2121659999829717,ok,-0.00450527188522653,-1.5705031985557434,1.570873370067702,-1.5710782979292874,-1.5708249339590203,-0.004477159398419507,-0.4488818265739885,0.030936455628865937,0.005947838014047482,-0.028150919830134454,-0.0028716351963574724,-0.446102268054875,0.30187300614000756,0.29750601586404757
0.02,0.4881034504717157,0.10475953218797017,0.4315524315712009,0.6244334695711177,0.08121194084150633,0.29216699840617366,ok,-0.008994090150966416,-1.5701938339994548,1.5709328484478424,-1.5713598071275887,-1.570853650310984,-0.008938182078968258,-0.4472306434845031,0.03253380170881718,0.0042208203419210315,-0.028107647021057315,-0.0028817835479688567,-0.4444825960624678,0.3020184842711248,0.29612566208852215
0.03,0.4886980577516792,0.10257140781837734,0.43139997319583895,0.6226964049900185,0.08123496789856262,0.11691699910443276,ok,-0.013466396585811446,-1.5698684959823666,1.5709750566512617,-1.5716408835977993,-1.5708824681464637,-0.013383008039592937,-0.44557390780844025,0.034105033263487225,0.0025229182017920612,-0.028067101865212163,-0.002891171981185484,-0.44285719167317206,0.30214809568885465,0.29473771714569835
0.04,0.4892878846678352,0.10038803875497444,0.431248040516951,0.6209597640964835,0.0812590994225285,0.12829200022679288,ok,-0.01792213566389585,-1.5695274456497317,1.5710002858332797,-1.5719215546164513,-1.5709113798662755,-0.01781157995632466,-0.4439118853129477,0.03565032200550604,0.0008537818164805547,-0.028029098336246054,-0.002899811054835757,-0.44122631993259864,0.30226198091153145,0.2933428786105027
0.05,0.48987290593751137,0.09820943732733163,0.43109661554331874,0.619223516616705,0.08128431721889964,0.08020800123631489,ok,-0.022361254517025326,-1.5691709424296767,1.5710088236514446,-1.5722018455998137,-1.5709403779768238,-0.022223843155650645,-0.4422448389188861,0.03716984029247234,-0.00078693252928726,-0.027993457341467354,-0.0029077113672155873,-0.4395902430646474,0.3023602813922461,0.2919412504055051
0.060000000000000005,0.4904530970833398,0.09603561633555424,0.43094568079626294,0.6174876340574188,0.08131060314236571,0.07712499973422382,ok,-0.026783702906214187,-1.568799244026752,1.5710009543261516,-1.5724817801732283,-1.570969455090496,-0.02661974558629712,-0.44057302864477477,0.038663761162688624,-0.002399562703548586,-0.027960006539022583,-0.0029148835507965334,-0.43794922041573875,0.3024468071659083,0.290532937834506
0.07,0.491028434429467,0.09386658903065195,0.43079521929973996,0.6157520896721708,0.08133793910117781,0.09245900037058163,ok,-0.031189433192661934,-1.5684126064151251,1.570976958699116,-1.5727613802386184,-1.570998603926004,-0.030999237790454506,-0.43889671155381565,0.0401322583662488,-0.003984440933552104,-0.027928580158646712,-0.002921338267025956,-0.43630350840209825,0.302532597549063,0.2891180474910901
0.08,0.4915988950977127,0.09170236909520264,0.4306452145706668,0.6140168584280933,0.0813663070613905,0.07133299914130475,ok,-0.035578400308200094,-1.5680112838314626,1.5709371142897806,-1.573040666040205,-1.5710278173086742,-0.03536227287447549,-0.437216141703989,0.04157550639162288,-0.005541894004195452,-0.02789901882600795,-0.0029270862012196718,-0.4346533604600877,0.3026183627584349,0.28769668722908415
0.09,0.4921644570036734,0.08954297062430862,0.430495650609468,0.6122819169731665,0.08139568905098037,0.22125000032247044,ok,-0.03995056172523998,-1.5675955287675463,1.5708816953497386,-1.573319656228465,-1.5710570881706865,-0.03970880647907637,-0.43553157010115556,0.04299368048804448,-0.007072243448844666,-0.027871169390505622,-0.0029321380575499396,-0.4329990269995173,0.30270407246845465,0.28626896604444857
